Epoch	TotalEnvInteracts	worker/CostLimit	worker/noise	learner/VVals	learner/CostVVals	worker/EpRet	worker/EpLen	worker/EpCost	learner/LossQ	learner/LossQC	learner/StopIter	learner/LossPi	learner/Lagrangian	learner/QcRet	learner/KL	learner/Entropy	learner/ClipFrac	learner/LossQcPenalty	learner/LossVallina	learner/LossKLAdv	learner/LossVC	learner/LossV	Eval/NaturalReward	Eval/NaturalCost	Eval/AdvUniformReward	Eval/AdvUniformCost	worker/Epoch	worker/Time
28	2320000	1.5	0.014833362	-29.425306	1.21862	-396.3734	1219.0	19.348665	0.3081308	0.0001866712	1.0	0.092027865	16.867617	1.616995	0.040581927	0.2208228	0.181925	1.6908674	0.056412812	0.001013907	1.343857	96.84719	-430.87488	8.137742	-429.25916	8.066357	28.0	1769.7655
29	2400000	1.5	0.014858946	-32.678375	2.4152474	-421.6758	1219.0	43.31369	0.34850585	0.0002983641	4.0	0.34698835	19.380922	3.8558004	0.01880064	0.22089629	0.1757125	6.9750032	0.017918918	0.00069390895	4.036942	103.549225	-414.6124	4.1332483	-414.4606	4.099879	29.0	1815.1237
30	2480000	1.5	0.0148806	-33.823376	2.6416166	-405.557	1219.0	16.327442	0.3122406	0.00018223432	1.0	-0.24553205	16.724392	1.6025798	0.02849564	0.22089866	0.140275	-4.4240084	0.024782984	0.0006153518	2.1281693	111.87429	-393.07867	1.5113229	-392.75095	1.4616596	30.0	1859.7723
31	2560000	1.5	0.014898927	-32.722786	1.1521686	-383.27396	1219.0	6.319077	0.29768372	7.35013e-05	1.0	-0.14562388	15.74115	0.54211104	0.033754155	0.22089526	0.1285625	-2.4840765	0.028810449	0.00047109794	1.0944968	93.723465	-362.3212	3.7788424	-363.12793	3.790727	31.0	1904.4845
32	2640000	1.5	0.014914451	-30.74952	0.3915238	-359.262	1219.0	3.6801465	0.28898054	2.3812028e-05	1.0	-0.017990235	15.48647	0.3287804	0.035594754	0.22087978	0.11035	-0.2810041	0.030230725	0.00035266197	0.12286543	79.40045	-332.83124	27.519007	-333.0585	27.668709	32.0	1948.8796
33	2720000	1.5	0.01492758	-28.725437	0.39100346	-335.16034	1219.0	10.320644	0.2678845	2.3700912e-05	2.0	0.16872492	16.17071	1.1072507	0.024378343	0.220824	0.08695	2.9514594	0.024173016	0.00024540763	2.6773617	59.9689	-303.2606	63.808243	-303.34763	63.547234	33.0	1993.6008
34	2800000	1.5	0.014938699	-26.689056	1.2950045	-314.42923	1219.0	16.818459	0.26485452	1.8426359e-05	4.0	0.1718274	16.855888	2.0251822	0.021612275	0.22065024	0.068325	3.0151162	0.02910202	0.0004616993	3.2778363	43.573063	-318.5182	46.514194	-318.60635	46.05727	34.0	2038.8582
35	2880000	1.5	0.014948113	-25.976852	1.8569914	-330.28867	1219.0	11.563442	0.26093048	1.1781734e-05	2.0	-0.14532928	16.361471	1.2450768	0.035494797	0.22055295	0.1007375	-2.6035807	0.049456455	0.00062211853	2.0595336	54.499638	-345.53287	15.8795	-344.99063	15.7633705	35.0	2083.651
36	2960000	1.5	0.014956073	-27.420176	1.1001261	-350.8253	1219.0	4.872307	0.27149555	1.2585912e-05	2.0	-0.15712349	15.712492	0.4409071	0.034091454	0.22046043	0.1196	-2.669612	0.0468347	0.0008522835	2.0288508	78.030365	-367.8282	1.2716099	-368.46906	1.2553327	36.0	2128.2708
37	3040000	1.5	0.01496282	-29.160921	0.42039737	-371.98502	1219.0	2.8860233	0.29774493	2.4270972e-05	2.0	-0.046108622	15.525027	0.23139311	0.016619114	0.22034742	0.099425	-0.8026749	0.026777716	0.0009602998	0.34924385	101.11309	-383.376	2.2436466	-384.34	2.2256436	37.0	2173.2522
38	3120000	1.5	0.0149685275	-30.823341	0.2715858	-386.4027	1219.0	4.4298077	0.3071308	6.99264e-05	3.0	0.025737163	15.686054	0.37990555	0.018830003	0.22017051	0.099325	0.40618232	0.018315217	0.0006246108	0.17544669	114.25121	-363.63766	1.8957309	-363.3675	1.8134857	38.0	2218.1829
39	3200000	1.5	0.014973358	-31.128408	0.33830416	-369.93445	1219.0	2.627299	0.29076463	3.1236043e-05	2.0	-0.031417497	15.507361	0.20827581	0.036011495	0.22004314	0.10965	-0.5414768	0.03517461	0.0004276238	0.11028104	94.74589	-333.71045	25.309713	-333.53113	25.168056	39.0	2263.1816
40	3280000	1.5	0.014977453	-29.605513	0.18853147	-346.3462	1219.0	5.8653364	0.27962115	1.9506271e-05	2.0	0.0760557	15.842252	0.5130992	0.028254766	0.219877	0.0877875	1.2932419	0.026641808	0.00031286807	0.6654157	78.50858	-306.2344	57.04791	-306.9457	57.094563	40.0	2307.988
